=== DVD Bounce Heading Selection ===
DVD heading selections so far: 5
Successful interaction entries: 2
Completed 30 s interactions: 2
Abandoned before interaction: 0
Abandoned after interaction: 0
Cooldown ignored detections: 17
Current human phase: APPROACH
Reposition commits: 0
Settle successes: 2

Open beam rule: inf OR range >= 4.5000 m
Minimum accepted sector width: 18.0000 deg
Sector edge margin: 8.0000 deg
Preferred bounce band: +/-55.0000 to +/-150.0000 deg
Fallback bounce band: +/-35.0000 to +/-165.0000 deg

Accepted open sectors: 2
Widest open sector beams: 208
Preferred left candidates: 116
Preferred right candidates: 102
Fallback candidates: 288

=== Result ===
Selected behaviour: preferred random side-bounce
Selected side: right/negative
Selected index: 123
Selected angle: -118.4144 deg
Representative range: 4.7639 m

=== Laser Scan Values ===
  [ 133]  angle=-113.4074 deg  range=4.8460 m  open=yes  preferred=yes
  [ 134]  angle=-112.9067 deg  range=4.8564 m  open=yes  preferred=yes
  [ 135]  angle=-112.4060 deg  range=4.8673 m  open=yes  preferred=yes
  [ 136]  angle=-111.9053 deg  range=4.8785 m  open=yes  preferred=yes
  [ 137]  angle=-111.4046 deg  range=4.8902 m  open=yes  preferred=yes
  [ 138]  angle=-110.9039 deg  range=4.9023 m  open=yes  preferred=yes
  [ 139]  angle=-110.4033 deg  range=4.9149 m  open=yes  preferred=yes
  [ 140]  angle=-109.9026 deg  range=4.9279 m  open=yes  preferred=yes
  [ 141]  angle=-109.4019 deg  range=4.9413 m  open=yes  preferred=yes
  [ 142]  angle=-108.9012 deg  range=4.9552 m  open=yes  preferred=yes
  [ 143]  angle=-108.4005 deg  range=4.9696 m  open=yes  preferred=yes
  [ 144]  angle=-107.8998 deg  range=4.9844 m  open=yes  preferred=yes
  [ 145]  angle=-107.3991 deg  range=4.9997 m  open=yes  preferred=yes
  [ 146]  angle=-106.8984 deg  range=5.0154 m  open=yes  preferred=yes
  [ 147]  angle=-106.3977 deg  range=5.0317 m  open=yes  preferred=yes
  [ 148]  angle=-105.8970 deg  range=5.0484 m  open=yes  preferred=yes
  [ 149]  angle=-105.3963 deg  range=5.0657 m  open=yes  preferred=yes
  [ 150]  angle=-104.8956 deg  range=5.0834 m  open=yes  preferred=yes
  [ 151]  angle=-104.3949 deg  range=5.1017 m  open=yes  preferred=yes
  [ 152]  angle=-103.8942 deg  range=5.1205 m  open=yes  preferred=yes
  [ 153]  angle=-103.3935 deg  range=5.1398 m  open=yes  preferred=yes
  [ 154]  angle=-102.8928 deg  range=5.1597 m  open=yes  preferred=yes
  [ 155]  angle=-102.3921 deg  range=5.1801 m  open=yes  preferred=yes
  [ 156]  angle=-101.8914 deg  range=5.2011 m  open=yes  preferred=yes
  [ 157]  angle=-101.3907 deg  range=5.2226 m  open=yes  preferred=yes
  [ 158]  angle=-100.8900 deg  range=5.2448 m  open=yes  preferred=yes
  [ 159]  angle=-100.3894 deg  range=5.2675 m  open=yes  preferred=yes
  [ 160]  angle= -99.8887 deg  range=5.2908 m  open=yes  preferred=yes
  [ 161]  angle= -99.3880 deg  range=5.3148 m  open=yes  preferred=yes
  [ 162]  angle= -98.8873 deg  range=5.3393 m  open=yes  preferred=yes
  [ 163]  angle= -98.3866 deg  range=5.3646 m  open=yes  preferred=yes
  [ 164]  angle= -97.8859 deg  range=5.3904 m  open=yes  preferred=yes
  [ 165]  angle= -97.3852 deg  range=5.3293 m  open=yes  preferred=yes
  [ 166]  angle= -96.8845 deg  range=5.2487 m  open=yes  preferred=yes
  [ 167]  angle= -96.3838 deg  range=5.1709 m  open=yes  preferred=yes
  [ 168]  angle= -95.8831 deg  range=5.0957 m  open=yes  preferred=yes
  [ 169]  angle= -95.3824 deg  range=5.0231 m  open=yes  preferred=yes
  [ 170]  angle= -94.8817 deg  range=4.9529 m  open=yes  preferred=yes
  [ 171]  angle= -94.3810 deg  range=4.8850 m  open=yes  preferred=yes
  [ 172]  angle= -93.8803 deg  range=4.8193 m  open=yes  preferred=yes
  [ 173]  angle= -93.3796 deg  range=4.7557 m  open=yes  preferred=yes
  [ 174]  angle= -92.8789 deg  range=4.6941 m  open=yes  preferred=yes
  [ 175]  angle= -92.3782 deg  range=4.6344 m  open=yes  preferred=yes
