=== Laser Scan Values ===
  [ 195]  angle= -82.3643 deg  range=1.8226 m
  [ 196]  angle= -81.8636 deg  range=1.8101 m
  [ 197]  angle= -81.3629 deg  range=1.7978 m
  [ 198]  angle= -80.8623 deg  range=1.7859 m
  [ 199]  angle= -80.3616 deg  range=1.7742 m
  [ 200]  angle= -79.8609 deg  range=1.7628 m
  [ 201]  angle= -79.3602 deg  range=1.7517 m
  [ 202]  angle= -78.8595 deg  range=1.7409 m
  [ 203]  angle= -78.3588 deg  range=1.7303 m
  [ 204]  angle= -77.8581 deg  range=1.7200 m
  [ 205]  angle= -77.3574 deg  range=1.7099 m
  [ 206]  angle= -76.8567 deg  range=1.7001 m
  [ 207]  angle= -76.3560 deg  range=1.6906 m
  [ 208]  angle= -75.8553 deg  range=1.6812 m
  [ 209]  angle= -75.3546 deg  range=1.6721 m
  [ 210]  angle= -74.8539 deg  range=1.6632 m
  [ 211]  angle= -74.3532 deg  range=1.6546 m
  [ 212]  angle= -73.8525 deg  range=1.6461 m
  [ 213]  angle= -73.3518 deg  range=1.6379 m
  [ 214]  angle= -72.8511 deg  range=1.6299 m
  [ 215]  angle= -72.3504 deg  range=1.6220 m
  [ 216]  angle= -71.8497 deg  range=1.6144 m
  [ 217]  angle= -71.3490 deg  range=1.6070 m
  [ 218]  angle= -70.8484 deg  range=1.5997 m
  [ 219]  angle= -70.3477 deg  range=1.5926 m
  [ 220]  angle= -69.8470 deg  range=1.5858 m
  [ 221]  angle= -69.3463 deg  range=1.5791 m
  [ 222]  angle= -68.8456 deg  range=1.5725 m
  [ 223]  angle= -68.3449 deg  range=1.5662 m
  [ 224]  angle= -67.8442 deg  range=1.5600 m
  [ 225]  angle= -67.3435 deg  range=1.5540 m
  [ 226]  angle= -66.8428 deg  range=1.5481 m
  [ 227]  angle= -66.3421 deg  range=1.5424 m
  [ 228]  angle= -65.8414 deg  range=1.5369 m
  [ 229]  angle= -65.3407 deg  range=1.5315 m
  [ 230]  angle= -64.8400 deg  range=1.5263 m
  [ 231]  angle= -64.3393 deg  range=1.5212 m
  [ 232]  angle= -63.8386 deg  range=1.5163 m
  [ 233]  angle= -63.3379 deg  range=1.5115 m
  [ 234]  angle= -62.8372 deg  range=1.5069 m
  [ 235]  angle= -62.3365 deg  range=1.5024 m
  [ 236]  angle= -61.8358 deg  range=1.4981 m
  [ 237]  angle= -61.3351 deg  range=1.4939 m
  [ 238]  angle= -60.8345 deg  range=1.4898 m
  [ 239]  angle= -60.3338 deg  range=1.4859 m
  [ 240]  angle= -59.8331 deg  range=1.4821 m
  [ 241]  angle= -59.3324 deg  range=1.4784 m
  [ 242]  angle= -58.8317 deg  range=1.4749 m
  [ 243]  angle= -58.3310 deg  range=1.4714 m
  [ 244]  angle= -57.8303 deg  range=1.4682 m
  [ 245]  angle= -57.3296 deg  range=1.4650 m
  [ 246]  angle= -56.8289 deg  range=1.4620 m
  [ 247]  angle= -56.3282 deg  range=1.4591 m
  [ 248]  angle= -55.8275 deg  range=1.4563 m
  [ 249]  angle= -55.3268 deg  range=1.4536 m
  [ 250]  angle= -54.8261 deg  range=1.4511 m
  [ 251]  angle= -54.3254 deg  range=1.4487 m
  [ 252]  angle= -53.8247 deg  range=1.4463 m
  [ 253]  angle= -53.3240 deg  range=1.4442 m
  [ 254]  angle= -52.8233 deg  range=1.4421 m
  [ 255]  angle= -52.3226 deg  range=1.4401 m
  [ 256]  angle= -51.8219 deg  range=1.4383 m
  [ 257]  angle= -51.3212 deg  range=1.4366 m
  [ 258]  angle= -50.8206 deg  range=1.4349 m
  [ 259]  angle= -50.3199 deg  range=1.4334 m
  [ 260]  angle= -49.8192 deg  range=1.4321 m
  [ 261]  angle= -49.3185 deg  range=1.4308 m
  [ 262]  angle= -48.8178 deg  range=1.4296 m
  [ 263]  angle= -48.3171 deg  range=1.4286 m
  [ 264]  angle= -47.8164 deg  range=1.4276 m
  [ 265]  angle= -47.3157 deg  range=1.4268 m
  [ 266]  angle= -46.8150 deg  range=1.4261 m
  [ 267]  angle= -46.3143 deg  range=1.4254 m
  [ 268]  angle= -45.8136 deg  range=1.4249 m
  [ 269]  angle= -45.3129 deg  range=1.4245 m
  [ 270]  angle= -44.8122 deg  range=1.4243 m
  [ 271]  angle= -44.3115 deg  range=inf m
  [ 272]  angle= -43.8108 deg  range=inf m
  [ 273]  angle= -43.3101 deg  range=inf m
  [ 274]  angle= -42.8094 deg  range=inf m
  [ 275]  angle= -42.3087 deg  range=inf m
  [ 276]  angle= -41.8080 deg  range=inf m
  [ 277]  angle= -41.3073 deg  range=inf m
  [ 278]  angle= -40.8067 deg  range=inf m
  [ 279]  angle= -40.3060 deg  range=inf m
  [ 280]  angle= -39.8053 deg  range=inf m
  [ 281]  angle= -39.3046 deg  range=inf m
  [ 282]  angle= -38.8039 deg  range=inf m
  [ 283]  angle= -38.3032 deg  range=inf m
  [ 284]  angle= -37.8025 deg  range=1.4317 m
  [ 285]  angle= -37.3018 deg  range=1.4331 m
  [ 286]  angle= -36.8011 deg  range=1.4345 m
  [ 287]  angle= -36.3004 deg  range=1.4361 m
  [ 288]  angle= -35.7997 deg  range=1.4378 m
  [ 289]  angle= -35.2990 deg  range=1.4396 m
  [ 290]  angle= -34.7983 deg  range=1.4415 m
